# Nx=1000 Ny=4 Lx=3500.0 Ly=67.5 lambda=13.50
# i j x_nm y_nm |E|^2 Re(Ey)
0 0 0.000000 0.000000 0.62956625893635532 0.071401753089816722
0 1 0.000000 22.500000 0.62956625893635532 0.071401753089816722
0 2 0.000000 45.000000 0.62956625893635532 0.071401753089816722
0 3 0.000000 67.500000 0.62956625893635532 0.071401753089816722
1 0 3.503504 0.000000 0.62920795624535131 0.072155335971353443
1 1 3.503504 22.500000 0.62920795624535131 0.072155335971353443
1 2 3.503504 45.000000 0.62920795624535131 0.072155335971353443
1 3 3.503504 67.500000 0.62920795624535131 0.072155335971353443
2 0 7.007007 0.000000 0.62817994458202664 0.072741633586394017
2 1 7.007007 22.500000 0.62817994458202664 0.072741633586394017
2 2 7.007007 45.000000 0.62817994458202664 0.072741633586394017
2 3 7.007007 67.500000 0.62817994458202664 0.072741633586394017
3 0 10.510511 0.000000 0.6266592552021707 0.073059703654569999
3 1 10.510511 22.500000 0.6266592552021707 0.073059703654569999
3 2 10.510511 45.000000 0.6266592552021707 0.073059703654569999
3 3 10.510511 67.500000 0.6266592552021707 0.073059703654569999
4 0 14.014014 0.000000 0.62490779316571254 0.07305468473540945
4 1 14.014014 22.500000 0.62490779316571254 0.07305468473540945
4 2 14.014014 45.000000 0.62490779316571254 0.07305468473540945
4 3 14.014014 67.500000 0.62490779316571254 0.07305468473540945
5 0 17.517518 0.000000 0.62322694406947921 0.072727256437576437
5 1 17.517518 22.500000 0.62322694406947921 0.072727256437576437
5 2 17.517518 45.000000 0.62322694406947921 0.072727256437576437
5 3 17.517518 67.500000 0.62322694406947921 0.072727256437576437
6 0 21.021021 0.000000 0.62190565191688163 0.072133554121399879
6 1 21.021021 22.500000 0.62190565191688163 0.072133554121399879
6 2 21.021021 45.000000 0.62190565191688163 0.072133554121399879
6 3 21.021021 67.500000 0.62190565191688163 0.072133554121399879
7 0 24.524525 0.000000 0.62117095992029214 0.071375547337117901
7 1 24.524525 22.500000 0.62117095992029214 0.071375547337117901
7 2 24.524525 45.000000 0.62117095992029214 0.071375547337117901
7 3 24.524525 67.500000 0.62117095992029214 0.071375547337117901
8 0 28.028028 0.000000 0.6211493473598706 0.070583530708719755
8 1 28.028028 22.500000 0.6211493473598706 0.070583530708719755
8 2 28.028028 45.000000 0.6211493473598706 0.070583530708719755
8 3 28.028028 67.500000 0.6211493473598706 0.070583530708719755
9 0 31.531532 0.000000 0.62184521962334083 0.06989373299608069
9 1 31.531532 22.500000 0.62184521962334083 0.06989373299608069
9 2 31.531532 45.000000 0.62184521962334083 0.06989373299608069
9 3 31.531532 67.500000 0.62184521962334083 0.06989373299608069
10 0 35.035035 0.000000 0.62314003760098424 0.06942489123388175
10 1 35.035035 22.500000 0.62314003760098424 0.06942489123388175
10 2 35.035035 45.000000 0.62314003760098424 0.06942489123388175
10 3 35.035035 67.500000 0.62314003760098424 0.06942489123388175
11 0 38.538539 0.000000 0.62481225152969666 0.069257817254098353
11 1 38.538539 22.500000 0.62481225152969666 0.069257817254098353
11 2 38.538539 45.000000 0.62481225152969666 0.069257817254098353
11 3 38.538539 67.500000 0.62481225152969666 0.069257817254098353
12 0 42.042042 0.000000 0.6265748553409809 0.0694214721154119
12 1 42.042042 22.500000 0.6265748553409809 0.0694214721154119
12 2 42.042042 45.000000 0.6265748553409809 0.0694214721154119
12 3 42.042042 67.500000 0.6265748553409809 0.0694214721154119
13 0 45.545546 0.000000 0.62812442517412559 0.069887947494314567
13 1 45.545546 22.500000 0.62812442517412559 0.069887947494314567
13 2 45.545546 45.000000 0.62812442517412559 0.069887947494314567
13 3 45.545546 67.500000 0.62812442517412559 0.069887947494314567
14 0 49.049049 0.000000 0.62919340377433253 0.070577223428015576
14 1 49.049049 22.500000 0.62919340377433253 0.070577223428015576
14 2 49.049049 45.000000 0.62919340377433253 0.070577223428015576
14 3 49.049049 67.500000 0.62919340377433253 0.070577223428015576
15 0 52.552553 0.000000 0.62959658209710712 0.071370891575298648
15 1 52.552553 22.500000 0.62959658209710712 0.071370891575298648
15 2 52.552553 45.000000 0.62959658209710712 0.071370891575298648
15 3 52.552553 67.500000 0.62959658209710712 0.071370891575298648
16 0 56.056056 0.000000 0.62926351153542948 0.072132491080211678
16 1 56.056056 22.500000 0.62926351153542948 0.072132491080211678
16 2 56.056056 45.000000 0.62926351153542948 0.072132491080211678
16 3 56.056056 67.500000 0.62926351153542948 0.072132491080211678
17 0 59.559560 0.000000 0.6282509582451955 0.072730965358575456
17 1 59.559560 22.500000 0.6282509582451955 0.072730965358575456
17 2 59.559560 45.000000 0.6282509582451955 0.072730965358575456
17 3 59.559560 67.500000 0.6282509582451955 0.072730965358575456
18 0 63.063063 0.000000 0.62673310020481787 0.073063208736738938
18 1 63.063063 22.500000 0.62673310020481787 0.073063208736738938
18 2 63.063063 45.000000 0.62673310020481787 0.073063208736738938
18 3 63.063063 67.500000 0.62673310020481787 0.073063208736738938
19 0 66.566567 0.000000 0.62497124538299753 0.073071825051927303
19 1 66.566567 22.500000 0.62497124538299753 0.073071825051927303
19 2 66.566567 45.000000 0.62497124538299753 0.073071825051927303
19 3 66.566567 67.500000 0.62497124538299753 0.073071825051927303
20 0 70.070070 0.000000 0.62326854931058828 0.072755040310464786
20 1 70.070070 22.500000 0.62326854931058828 0.072755040310464786
20 2 70.070070 45.000000 0.62326854931058828 0.072755040310464786
20 3 70.070070 67.500000 0.62326854931058828 0.072755040310464786
21 0 73.573574 0.000000 0.62191778007324172 0.072167057901321011
21 1 73.573574 22.500000 0.62191778007324172 0.072167057901321011
21 2 73.573574 45.000000 0.62191778007324172 0.072167057901321011
21 3 73.573574 67.500000 0.62191778007324172 0.072167057901321011
