# Nx=1000 Ny=4 Lx=3500.0 Ly=67.5 lambda=13.50
# i j x_nm y_nm |E|^2 Re(Ey)
0 0 0.000000 0.000000 0.62919349849487627 0.070610533229245084
0 1 0.000000 22.500000 0.62919349849487627 0.070610533229245084
0 2 0.000000 45.000000 0.62919349849487627 0.070610533229245084
0 3 0.000000 67.500000 0.62919349849487627 0.070610533229245084
1 0 3.503504 0.000000 0.62815463973296615 0.069917731154117077
1 1 3.503504 22.500000 0.62815463973296615 0.069917731154117077
1 2 3.503504 45.000000 0.62815463973296615 0.069917731154117077
1 3 3.503504 67.500000 0.62815463973296615 0.069917731154117077
2 0 7.007007 0.000000 0.62662951079148221 0.069442418459352728
2 1 7.007007 22.500000 0.62662951079148221 0.069442418459352728
2 2 7.007007 45.000000 0.62662951079148221 0.069442418459352728
2 3 7.007007 67.500000 0.62662951079148221 0.069442418459352728
3 0 10.510511 0.000000 0.62488135979094761 0.069266223815115616
3 1 10.510511 22.500000 0.62488135979094761 0.069266223815115616
3 2 10.510511 45.000000 0.62488135979094761 0.069266223815115616
3 3 10.510511 67.500000 0.62488135979094761 0.069266223815115616
4 0 14.014014 0.000000 0.62321113214061508 0.069419317787173543
4 1 14.014014 22.500000 0.62321113214061508 0.069419317787173543
4 2 14.014014 45.000000 0.62321113214061508 0.069419317787173543
4 3 14.014014 67.500000 0.62321113214061508 0.069419317787173543
5 0 17.517518 0.000000 0.62190560167244047 0.069875247966972087
5 1 17.517518 22.500000 0.62190560167244047 0.069875247966972087
5 2 17.517518 45.000000 0.62190560167244047 0.069875247966972087
5 3 17.517518 67.500000 0.62190560167244047 0.069875247966972087
6 0 21.021021 0.000000 0.62118834090862174 0.07055550834924755
6 1 21.021021 22.500000 0.62118834090862174 0.07055550834924755
6 2 21.021021 45.000000 0.62118834090862174 0.07055550834924755
6 3 21.021021 67.500000 0.62118834090862174 0.07055550834924755
7 0 24.524525 0.000000 0.62118178073361063 0.071343053856569361
7 1 24.524525 22.500000 0.62118178073361063 0.071343053856569361
7 2 24.524525 45.000000 0.62118178073361063 0.071343053856569361
7 3 24.524525 67.500000 0.62118178073361063 0.071343053856569361
8 0 28.028028 0.000000 0.62188657336040642 0.072102434107398555
8 1 28.028028 22.500000 0.62188657336040642 0.072102434107398555
8 2 28.028028 45.000000 0.62188657336040642 0.072102434107398555
8 3 28.028028 67.500000 0.62188657336040642 0.072102434107398555
9 0 31.531532 0.000000 0.62318156736396702 0.072703083919953906
9 1 31.531532 22.500000 0.62318156736396702 0.072703083919953906
9 2 31.531532 45.000000 0.62318156736396702 0.072703083919953906
9 3 31.531532 67.500000 0.62318156736396702 0.072703083919953906
10 0 35.035035 0.000000 0.62484438100747786 0.073041766759536192
10 1 35.035035 22.500000 0.62484438100747786 0.073041766759536192
10 2 35.035035 45.000000 0.62484438100747786 0.073041766759536192
10 3 35.035035 67.500000 0.62484438100747786 0.073041766759536192
11 0 38.538539 0.000000 0.62658924472453637 0.073060314162980672
11 1 38.538539 22.500000 0.62658924472453637 0.073060314162980672
11 2 38.538539 45.000000 0.62658924472453637 0.073060314162980672
11 3 38.538539 67.500000 0.62658924472453637 0.073060314162980672
12 0 42.042042 0.000000 0.62811589707558757 0.072755613668438329
12 1 42.042042 22.500000 0.62811589707558757 0.072755613668438329
12 2 42.042042 45.000000 0.62811589707558757 0.072755613668438329
12 3 42.042042 67.500000 0.62811589707558757 0.072755613668438329
13 0 45.545546 0.000000 0.6291613044124762 0.072180130673636295
13 1 45.545546 22.500000 0.6291613044124762 0.072180130673636295
13 2 45.545546 45.000000 0.6291613044124762 0.072180130673636295
13 3 45.545546 67.500000 0.6291613044124762 0.072180130673636295
14 0 49.049049 0.000000 0.62954525639199044 0.071432876801376541
14 1 49.049049 22.500000 0.62954525639199044 0.071432876801376541
14 2 49.049049 45.000000 0.62954525639199044 0.071432876801376541
14 3 49.049049 67.500000 0.62954525639199044 0.071432876801376541
15 0 52.552553 0.000000 0.62920174652068528 0.070642379137968905
15 1 52.552553 22.500000 0.62920174652068528 0.070642379137968905
15 2 52.552553 45.000000 0.62920174652068528 0.070642379137968905
15 3 52.552553 67.500000 0.62920174652068528 0.070642379137968905
16 0 56.056056 0.000000 0.62819046285904279 0.069944579052782979
16 1 56.056056 22.500000 0.62819046285904279 0.069944579052782979
16 2 56.056056 45.000000 0.62819046285904279 0.069944579052782979
16 3 56.056056 67.500000 0.62819046285904279 0.069944579052782979
17 0 59.559560 0.000000 0.6266862934500067 0.069459460134633791
17 1 59.559560 22.500000 0.6266862934500067 0.069459460134633791
17 2 59.559560 45.000000 0.6266862934500067 0.069459460134633791
17 3 59.559560 67.500000 0.6266862934500067 0.069459460134633791
18 0 63.063063 0.000000 0.62494877414760297 0.069270422568001838
18 1 63.063063 22.500000 0.62494877414760297 0.069270422568001838
18 2 63.063063 45.000000 0.62494877414760297 0.069270422568001838
18 3 63.063063 67.500000 0.62494877414760297 0.069270422568001838
19 0 66.566567 0.000000 0.62327702163277698 0.069409948707035485
19 1 66.566567 22.500000 0.62327702163277698 0.069409948707035485
19 2 66.566567 45.000000 0.62327702163277698 0.069409948707035485
19 3 66.566567 67.500000 0.62327702163277698 0.069409948707035485
20 0 70.070070 0.000000 0.62195816981429997 0.069854022979814787
20 1 70.070070 22.500000 0.62195816981429997 0.069854022979814787
20 2 70.070070 45.000000 0.62195816981429997 0.069854022979814787
20 3 70.070070 67.500000 0.62195816981429997 0.069854022979814787
21 0 73.573574 0.000000 0.62121825017542243 0.070526264484746415
21 1 73.573574 22.500000 0.62121825017542243 0.070526264484746415
21 2 73.573574 45.000000 0.62121825017542243 0.070526264484746415
21 3 73.573574 67.500000 0.62121825017542243 0.070526264484746415
22 0 77.077077 0.000000 0.6211837940346282 0.071311061315501911
22 1 77.077077 22.500000 0.6211837940346282 0.071311061315501911
22 2 77.077077 45.000000 0.6211837940346282 0.071311061315501911
22 3 77.077077 67.500000 0.6211837940346282 0.071311061315501911
23 0 80.580581 0.000000 0.62186045893701747 0.072073448608739349
23 1 80.580581 22.500000 0.62186045893701747 0.072073448608739349
23 2 80.580581 45.000000 0.62186045893701747 0.072073448608739349
23 3 80.580581 67.500000 0.62186045893701747 0.072073448608739349
24 0 84.084084 0.000000 0.62313211760132714 0.072682313360791534
24 1 84.084084 22.500000 0.62313211760132714 0.072682313360791534
24 2 84.084084 45.000000 0.62313211760132714 0.072682313360791534
24 3 84.084084 67.500000 0.62313211760132714 0.072682313360791534
25 0 87.587588 0.000000 0.62478054547702022 0.073032937328963266
25 1 87.587588 22.500000 0.62478054547702022 0.073032937328963266
25 2 87.587588 45.000000 0.62478054547702022 0.073032937328963266
25 3 87.587588 67.500000 0.62478054547702022 0.073032937328963266
26 0 91.091091 0.000000 0.62652252708384015 0.073065003052130428
26 1 91.091091 22.500000 0.62652252708384015 0.073065003052130428
26 2 91.091091 45.000000 0.62652252708384015 0.073065003052130428
26 3 91.091091 67.500000 0.62652252708384015 0.073065003052130428
27 0 94.594595 0.000000 0.62805829357285847 0.072772967661138485
27 1 94.594595 22.500000 0.62805829357285847 0.072772967661138485
27 2 94.594595 45.000000 0.62805829357285847 0.072772967661138485
27 3 94.594595 67.500000 0.62805829357285847 0.072772967661138485
28 0 98.098098 0.000000 0.62912314773342504 0.072207020758588675
28 1 98.098098 22.500000 0.62912314773342504 0.072207020758588675
28 2 98.098098 45.000000 0.62912314773342504 0.072207020758588675
28 3 98.098098 67.500000 0.62912314773342504 0.072207020758588675
29 0 101.601602 0.000000 0.62953335377311992 0.071464460882186026
29 1 101.601602 22.500000 0.62953335377311992 0.071464460882186026
29 2 101.601602 45.000000 0.62953335377311992 0.071464460882186026
29 3 101.601602 67.500000 0.62953335377311992 0.071464460882186026
30 0 105.105105 0.000000 0.62921815471733034 0.070672971881516639
30 1 105.105105 22.500000 0.62921815471733034 0.070672971881516639
30 2 105.105105 45.000000 0.62921815471733034 0.070672971881516639
