# Nx=1000 Ny=4 Lx=3500.0 Ly=67.5 lambda=13.50
# i j x_nm y_nm |E|^2 Re(Ey)
0 0 0.000000 0.000000 0.62458828607607486 0.049621647698073972
0 1 0.000000 22.500000 0.62458828607607486 0.049621647698073972
0 2 0.000000 45.000000 0.62458828607607486 0.049621647698073972
0 3 0.000000 67.500000 0.62458828607607486 0.049621647698073972
1 0 3.503504 0.000000 0.62410011345762506 0.049127542123145809
1 1 3.503504 22.500000 0.62410011345762506 0.049127542123145809
1 2 3.503504 45.000000 0.62410011345762506 0.049127542123145809
1 3 3.503504 67.500000 0.62410011345762506 0.049127542123145809
2 0 7.007007 0.000000 0.62303450381355063 0.048642682029102741
2 1 7.007007 22.500000 0.62303450381355063 0.048642682029102741
2 2 7.007007 45.000000 0.62303450381355063 0.048642682029102741
2 3 7.007007 67.500000 0.62303450381355063 0.048642682029102741
3 0 10.510511 0.000000 0.62157600933298374 0.048250388905472924
3 1 10.510511 22.500000 0.62157600933298374 0.048250388905472924
3 2 10.510511 45.000000 0.62157600933298374 0.048250388905472924
3 3 10.510511 67.500000 0.62157600933298374 0.048250388905472924
4 0 14.014014 0.000000 0.61997622368986982 0.048018028406757896
4 1 14.014014 22.500000 0.61997622368986982 0.048018028406757896
4 2 14.014014 45.000000 0.61997622368986982 0.048018028406757896
4 3 14.014014 67.500000 0.61997622368986982 0.048018028406757896
5 0 17.517518 0.000000 0.61851018894954424 0.047985444988237785
5 1 17.517518 22.500000 0.61851018894954424 0.047985444988237785
5 2 17.517518 45.000000 0.61851018894954424 0.047985444988237785
5 3 17.517518 67.500000 0.61851018894954424 0.047985444988237785
6 0 21.021021 0.000000 0.61742926641489571 0.04815813125480789
6 1 21.021021 22.500000 0.61742926641489571 0.04815813125480789
6 2 21.021021 45.000000 0.61742926641489571 0.04815813125480789
6 3 21.021021 67.500000 0.61742926641489571 0.04815813125480789
7 0 24.524525 0.000000 0.6169184487565994 0.048506302722821033
7 1 24.524525 22.500000 0.6169184487565994 0.048506302722821033
7 2 24.524525 45.000000 0.6169184487565994 0.048506302722821033
7 3 24.524525 67.500000 0.6169184487565994 0.048506302722821033
8 0 28.028028 0.000000 0.61706509715619229 0.048970033741255123
8 1 28.028028 22.500000 0.61706509715619229 0.048970033741255123
8 2 28.028028 45.000000 0.61706509715619229 0.048970033741255123
8 3 28.028028 67.500000 0.61706509715619229 0.048970033741255123
9 0 31.531532 0.000000 0.61784412753810569 0.049469569166967195
9 1 31.531532 22.500000 0.61784412753810569 0.049469569166967195
9 2 31.531532 45.000000 0.61784412753810569 0.049469569166967195
9 3 31.531532 67.500000 0.61784412753810569 0.049469569166967195
10 0 35.035035 0.000000 0.61912207586764889 0.049919037839458939
10 1 35.035035 22.500000 0.61912207586764889 0.049919037839458939
10 2 35.035035 45.000000 0.61912207586764889 0.049919037839458939
10 3 35.035035 67.500000 0.61912207586764889 0.049919037839458939
11 0 38.538539 0.000000 0.6206795340076513 0.050241210458512327
11 1 38.538539 22.500000 0.6206795340076513 0.050241210458512327
11 2 38.538539 45.000000 0.6206795340076513 0.050241210458512327
11 3 38.538539 67.500000 0.6206795340076513 0.050241210458512327
12 0 42.042042 0.000000 0.62224846641845977 0.050380766174547495
12 1 42.042042 22.500000 0.62224846641845977 0.050380766174547495
12 2 42.042042 45.000000 0.62224846641845977 0.050380766174547495
12 3 42.042042 67.500000 0.62224846641845977 0.050380766174547495
13 0 45.545546 0.000000 0.62355828963132442 0.050313789484522614
13 1 45.545546 22.500000 0.62355828963132442 0.050313789484522614
13 2 45.545546 45.000000 0.62355828963132442 0.050313789484522614
13 3 45.545546 67.500000 0.62355828963132442 0.050313789484522614
14 0 49.049049 0.000000 0.6243828193941483 0.050051867508853209
14 1 49.049049 22.500000 0.6243828193941483 0.050051867508853209
14 2 49.049049 45.000000 0.6243828193941483 0.050051867508853209
14 3 49.049049 67.500000 0.6243828193941483 0.050051867508853209
15 0 52.552553 0.000000 0.62457974948172701 0.049640085878033001
15 1 52.552553 22.500000 0.62457974948172701 0.049640085878033001
15 2 52.552553 45.000000 0.62457974948172701 0.049640085878033001
15 3 52.552553 67.500000 0.62457974948172701 0.049640085878033001
16 0 56.056056 0.000000 0.62411549083929219 0.049149269776711774
16 1 56.056056 22.500000 0.62411549083929219 0.049149269776711774
16 2 56.056056 45.000000 0.62411549083929219 0.049149269776711774
16 3 56.056056 67.500000 0.62411549083929219 0.049149269776711774
17 0 59.559560 0.000000 0.62307084997972917 0.048663805102372802
17 1 59.559560 22.500000 0.62307084997972917 0.048663805102372802
17 2 59.559560 45.000000 0.62307084997972917 0.048663805102372802
17 3 59.559560 67.500000 0.62307084997972917 0.048663805102372802
18 0 63.063063 0.000000 0.62162661946416431 0.048267133474256166
